General Purpose,1,Push-Pull,2 V ~ 8 V* ±1 V ~ 4 V,6mV @ 5V,-,30mA,1µA,80dB CMRR* 90dB PSRR,24µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Open Collector,2.7 V ~ 5.5 V,7mV @ 5V,0.25µA @ 5V,84mA @ 5V,150µA,-,600ns,-,-40°C ~ 85°C,5-TSSOP* SC-70-5* SOT-353,Surface Mount,SC-70-5
General Purpose,1,Open Drain,2.7 V ~ 5 V,7mV @ 5V,0.25µA @ 5V,93mA @ 5V,150µA,-,550ns,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,CMOS* Open-Collector* TTL,2.7 V ~ 5.5 V,7mV @ 5V,0.25µA @ 5V,84mA @ 5V,120µA,-,600ns,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Open Drain,2.7 V ~ 5 V,9mV @ 5V,0.001µA @ 5V,84mA @ 5V,150µA,-,1.5µs,-,-,5-TSSOP* SC-70-5* SOT-353,Surface Mount,SC-88A (SC-70-5/SOT-353)
General Purpose,1,Push-Pull* Rail-to-Rail,2.7 V ~ 5 V,6mV @ 5V,0.95µA @ 5V,-,1.8mA,85dB CMRR* 85dB PSRR,20ns,7.5mV,-40°C ~ 85°C,5-TSSOP* SC-70-5* SOT-353,Surface Mount,SC-70-5
General Purpose,1,Open-Drain* Rail-to-Rail,2.7 V ~ 5.5 V,6mV @ 5V,0.4µA @ 5V,-,95µA,67dB CMRR* 85dB PSRR,62ns,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Open-Drain* Rail-to-Rail,2.7 V ~ 5.5 V,6mV @ 5V,0.4µA @ 5V,-,95µA,67dB CMRR* 85dB PSRR,62ns,-,-40°C ~ 85°C,5-TSSOP* SC-70-5* SOT-353,Surface Mount,SC-70-5
General Purpose,1,Push-Pull* Rail-to-Rail,2.7 V ~ 5.5 V,6mV @ 5V,0.4µA @ 5V,-,95µA,67dB CMRR* 85dB PSRR,62ns,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,CMOS* Push-Pull* Rail-to-Rail,1.8 V ~ 5.5 V* ±0.9 V ~ 2.75 V,4mV @ 5V,0.01µA @ 5V,-,14µA,78dB CMRR* 80dB PSRR,2.1µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Push-Pull,2.7 V ~ 5 V,0.2mV @ 5V,50pA @ 5V,-,700µA,100dB CMRR* 110dB PSRR,225ns,-,-40°C ~ 125°C,SOT-23-6,Surface Mount,SOT-23-6
General Purpose,4,CMOS* MOS* Open-Collector,3 V ~ 30 V* ±1.5 V ~ 15 V,5mV @ 30V,0.025µA @ 5V,30mA @ 5V,100µA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
General Purpose,4,CMOS* MOS* Open-Collector,3 V ~ 30 V* ±1.5 V ~ 15 V,5mV @ 30V,0.025µA @ 5V,30mA @ 5V,100µA,-,-,-,0°C ~ 70°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-PDIP
General Purpose,1,Open Collector,3 V ~ 36 V* ±1.5 V ~ 18 V,2mV @ ±15V,0.065µA @ ±15V,50mA,4mA,CMRR* PSRR (Typ) 115dB CMRR,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
General Purpose,1,Open Collector,3 V ~ 36 V* ±1.5 V ~ 18 V,2mV @ ±15V,0.065µA @ ±15V,50mA,4mA,115dB CMRR,-,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,1,Open Collector,3 V ~ 36 V* ±1.5 V ~ 18 V,2mV @ ±15V,0.065µA @ ±15V,50mA,4mA,115dB CMRR,-,-,-40°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
