680nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0805,0.079 L x 0.049 W (2.00mm x 1.25mm), - , - , - , - ,
1.5nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
390pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
8.2pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
360pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
27nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
39nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
470pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
330nF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,1206,0.126 L x 0.063 W (3.20mm x 1.60mm), - , - , - , - ,
0.68pF,10%,50V,X7R,-55°C ~ 100°C, - , - ,General Purpose, - ,Surface Mount, MLCC,0603,0.064 L x 0.035 W (1.63mm x 0.89mm), - , - , - , - ,
